address	size	data_pointer_count	table_pointer_count
0x8228F420	0x00000010	3	3
0x8228F430	0x0000000C	3	3
0x8228F6E8	0x00000080	3	3
0x822938B8	0x00000008	1	1
0x82293C90	0x00000030	1	1
0x82294090	0x00000018	2	2
0x82298410	0x00000014	2	2
0x82298490	0x00000008	2	2
0x82298498	0x00000010	2	2
0x822984A8	0x00000010	2	2
0x822984B8	0x00000010	2	2
0x822984C8	0x0000000C	2	2
0x822984D8	0x0000000C	2	2
0x822984E8	0x00000018	2	2
0x82298500	0x00000008	1	1
0x82298A18	0x00000064	12	12
0x82298B38	0x00000010	10	10
0x82299100	0x00000014	6	6
0x822991E0	0x00000018	8	8
0x82299A20	0x00000070	13	13
0x8229D4E8	0x00000054	1	1
0x8229D5C0	0x00000008	1	1
0x8229D5C8	0x00000008	1	1
0x8229D5D0	0x00000008	1	1
0x8229D5D8	0x00000008	1	1
0x8229D5E0	0x00000008	1	1
0x8229D5E8	0x00000008	1	1
0x8229D5F0	0x00000008	1	1
0x822A2B20	0x00000008	3	3
0x822A2CA8	0x00000030	1	1
0x822A3EF0	0x00000038	1	1
0x822A4398	0x00000004	1	1
0x822A43F0	0x00000008	1	1
0x822A60B8	0x00000004	2	2
0x822A63D8	0x00000008	2	2
0x822A63E0	0x00000008	2	2
0x822A6888	0x00000030	2	2
0x822A81A8	0x00000004	1	1
0x822A8680	0x00000030	1	1
0x822A9B90	0x00000004	1	1
0x822AA150	0x000000BC	1	1
0x822AA910	0x00000020	1	1
0x822AADA0	0x00000044	1	1
0x822AB038	0x00000058	1	1
0x822AB6F8	0x00000014	1	1
0x822ABBA8	0x00000020	48	48
0x822ABBF0	0x00000014	48	48
0x822ABC48	0x0000000C	47	47
0x822B09E8	0x00000024	2	2
0x822B0E90	0x00000004	2	2
0x822B1F00	0x00000048	2	2
0x822B1F50	0x00000048	2	2
0x822B2130	0x0000000C	2	2
0x822B21C0	0x00000058	2	2
0x822B2220	0x00000098	2	2
0x822B22C0	0x00000058	2	2
0x822B2320	0x0000000C	2	2
0x822B24E8	0x00000034	2	2
0x822B2528	0x00000020	2	2
0x822B2688	0x0000004C	2	2
0x822B2710	0x00000058	2	2
0x822B28F0	0x0000000C	2	2
0x822B2900	0x00000024	2	2
0x822B2930	0x00000058	2	2
0x822B2988	0x0000001C	2	2
0x822B29C8	0x0000001C	2	2
0x822B29E8	0x0000001C	2	2
0x822B2A90	0x0000000C	2	2
0x822B2B48	0x00000010	2	2
0x822B74B8	0x00000018	2	2
0x822B74D8	0x00000034	2	2
0x822B7510	0x00000014	2	2
0x822B7528	0x00000020	2	2
0x822B7548	0x00000014	2	2
0x822B7560	0x00000014	2	2
0x822B7578	0x00000008	2	2
0x822B7580	0x00000018	2	2
0x822B7598	0x00000014	2	2
0x822B75B0	0x00000030	2	2
0x822B9128	0x00000018	2	2
0x822B95D0	0x00000030	1	1
0x822B9810	0x000000E4	1	1
0x822BAC38	0x00000004	1	1
0x822BC660	0x00000010	1	1
0x822BEDD8	0x00000028	1	1
0x822C4460	0x00000028	2	2
0x822C72F8	0x00000064	2	2
0x822C7360	0x00000008	5	5
0x822C7368	0x00000008	5	5
0x822CF9A8	0x00000018	2	2
0x822CF9C8	0x00000020	2	2
0x822D0020	0x00000020	6	6
